,TransactionDT_observed,TransactionAmt_observed,P_emaildomain_observed,R_emaildomain_observed,card4_observed,card6_observed,dist1_observed,addr1_observed,DeviceType_observed,class_prob_observed,TransactionDT_attribution,TransactionAmt_attribution,P_emaildomain_attribution,R_emaildomain_attribution,card4_attribution,card6_attribution,dist1_attribution,addr1_attribution,DeviceType_attribution
0,12627443.0,8.976,icloud.com,icloud.com,visa,debit,-1.0,-1.0,mobile,0.11483612656593323,0.019478063378208364,0.00016391565823971276,0.0021629896819047325,0.00814124069249182,0.0,0.0,0.0,0.002422080660301863,0.0077771299964705005
1,8083576.0,504.95,gmail.com,nan,mastercard,debit,-1.0,184.0,nan,0.5267291069030762,0.1593753975139999,0.058735119119715865,0.0038337325981985856,0.0,0.15466261607167717,0.0,0.0,0.029161175383220984,0.0
2,11928366.0,445.0,gmail.com,nan,mastercard,debit,22.0,272.0,nan,0.5089972019195557,0.006693576142483747,0.01874618166919873,0.0,0.0,0.090888022488684,0.0,0.001294757655760631,0.037392474555984566,0.0
3,7921384.0,33.95,yahoo.com,nan,mastercard,debit,0.0,204.0,nan,0.5127807259559631,0.10348033669949008,0.004028430406435932,0.06799116292414988,0.0,0.0,0.0,0.0018654713260673932,0.004900527448935915,0.0
4,13456600.0,102.0,gmail.com,nan,mastercard,debit,-1.0,315.0,nan,0.5465907454490662,0.0417090371780759,0.1250433241570903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3184510.0,117.0,hotmail.com,nan,mastercard,debit,-1.0,299.0,nan,0.5124964118003845,0.23528429010642116,0.01799804921628919,0.1008668715556143,0.0,0.0,0.0,0.0,0.0,0.0
6,12772219.0,53.119,anonymous.com,anonymous.com,mastercard,debit,-1.0,-1.0,desktop,0.20731347799301147,0.03440398220461993,4.718229018602375e-05,0.0050207766162676725,0.02661369562463129,0.0,0.0,0.0,0.0,0.0029728083974049717
7,9999087.0,201.0,nan,nan,mastercard,credit,0.0,441.0,nan,0.5025981068611145,0.047396879848390014,0.004721670710817657,0.0,0.0,0.005452473947373899,0.10565896408096892,7.420390658102856e-05,0.06527144769708432,0.0
8,15122792.0,26.95,nan,nan,visa,debit,-1.0,337.0,nan,0.523424506187439,0.0014904197508273677,0.004286476512919366,0.0,0.0,0.0,0.0,0.0,0.18928965499091346,0.0
9,11054683.0,205.95,gmail.com,nan,visa,debit,-1.0,441.0,nan,0.5332464575767517,0.058907265264069364,0.002122799384329502,0.0,0.0,0.0,0.0,0.002420082402125417,0.12622726878805718,0.0
